"vig","m.mot","sd.mot","m.opp","sd.opp"
"01_p_ang",11.9130434782609,3.36982658682853,2.78260869565217,2.25542823466834
"01_p_dig",11.8108108108108,3.76266629634594,3.51351351351351,2.38771882791949
"01_p_dul",10.5,3.90944801522974,2.89473684210526,1.94226774233891
"01_p_dur",12.1515151515152,3.09355390410055,3.3030303030303,2.61587519394619
"01_p_irr",12.7307692307692,2.64662339304545,3.61538461538462,2.46701314267959
"01_p_lin",10.5277777777778,4.1437464836347,3.44444444444444,2.33537325795434
"01_p_log",10.969696969697,3.59239516622309,3.27272727272727,2.19762268247883
"01_p_per",12.8571428571429,2.9277002188456,3.53571428571429,2.33304986940307
"01_p_res",12.4137931034483,3.74659122574213,3.6551724137931,2.02265493965879
"01_p_rev",12.5882352941176,3.60233633833296,3.94117647058824,2.13117091831368
"01_p_sim",12.5,2.16694535554385,3,2.46717581897585
"01_p_spa",12.4324324324324,3.41191165494377,3.27027027027027,2.75528430322382
"01_p_tap",11.8205128205128,3.79661757268919,4.23076923076923,2.50747869237458
"01_p_tr1",10.8214285714286,4.64322342877486,3.14285714285714,2.25609110852091
"01_p_tr2",11.4146341463415,3.74817028532655,3.5609756097561,2.39842427947814
"01_p_unp",12,3.92351110536715,4.08823529411765,2.28788173908747
"01_p_vis",11.0487804878049,4.1949446927951,3.68292682926829,2.19589417311313
"01_p_wor",11.7037037037037,3.63545378412712,3.33333333333333,1.88107988625192
"02_p_coo",11.1304347826087,4.0261006154849,4.21739130434783,2.46717581897585
"03_n_swi",11.4,3.71966361864852,3.075,2.34671073676567
"03_p_swi",11.6666666666667,3.96254392858488,3.38461538461538,2.3465022639013
"04_n_age",11.9444444444444,3.77922474623297,3.19444444444444,2.30303457507009
"04_n_err",11.1621621621622,3.68565924687621,3.67567567567568,2.23673936859058
"04_n_per",12.9310344827586,3.31588206841341,3.17241379310345,2.26887268290478
"04_n_rea",11.275,4.38521700775779,3.5,2.43899937448084
"04_p_age",11.1142857142857,4.70776222956131,3.85714285714286,1.97250001331331
"04_p_err",11.7741935483871,3.76571974014136,2.83870967741935,2.4096579867075
"04_p_per",12.7352941176471,3.5870881542032,3.73529411764706,2.50222717193391
"04_p_rea",12.7,3.14203975040155,3.46666666666667,2.23966335729792
"05_p_dis",11.4848484848485,3.69223181254587,3.57575757575758,2.33225083114873
"07_z_man",11,4.10690475500305,4.09677419354839,2.11903812628399
"07_z_ver",12.1153846153846,3.95299302379271,3.5,2.35372045918796
"08_n_drq",12.2941176470588,3.81010945332884,2.97058823529412,2.22227421210723
"08_n_fol",12.1379310344828,3.47155932369462,3.68965517241379,2.08914624181852
"08_n_pos",12.3611111111111,4.07187410539161,3.44444444444444,2.29837761965689
"08_p_drq",12.28125,3.16466759198212,4.125,2.4854414808719
"08_p_fol",12.0810810810811,3.97477028251933,3.27027027027027,2.24411141346325
"08_p_pos",10.4411764705882,4.52729885667065,3.47058823529412,2.14949316249552
"09_n_sat",10.725,4.11991722595466,3.625,2.52868162670408
"09_p_sat",11.6666666666667,3.90266181352795,2.62962962962963,2.20398499485588
"11_p_ang",11.3225806451613,4.58539054515675,3.45161290322581,2.861686095963
"11_p_hap",11.1351351351351,3.85977951415594,3.48648648648649,2.39932422918553
"11_z_ang",11.6,3.73050488093323,4.2,2.06155281280883
"11_z_hap",11.6857142857143,4.2132244782591,3.54285714285714,2.09119804028635
"12_p_ang",11.7567567567568,4.00974788210906,2.67567567567568,2.39274428747103
"12_p_hap",12,3.61708906903512,3.32,2.096027989635
"12_z_ang",12.2285714285714,3.78919294748596,3.31428571428571,2.02588293854119
"12_z_hap",10.7931034482759,4.37018559874609,3.79310344827586,2.36611964352771
"14_n_res",11.1290322580645,3.89651070817529,3.48387096774194,2.06350781828638
"14_p_res",11.2307692307692,4.1790687221695,3.42307692307692,2.33534711635041
"15_p_nin",13.1111111111111,3.0216152518411,3.22222222222222,2.53107668914816
"15_p_yin",12,3.63114103074849,3.10714285714286,2.14888921718288
"16_p_new",11.25,3.95947210557654,4.34375,2.14940914611885
"17_i_yin",11.6,4.43471156521669,3.28,2.35442845152137
"17_p_nin",11.3846153846154,3.49945050631579,3.57692307692308,2.48472255067767
"20_p_bod",12.375,2.72088695216314,3.4375,2.10892879091763
"20_p_non",10.7142857142857,3.58374183988089,3.5952380952381,2.38960680314467
"20_p_pre",11.6511627906977,3.96942913570005,3.55813953488372,2.18547505548832
"20_p_vis",10.7894736842105,4.47932221272149,4.26315789473684,2.20711237349614
"20_p_voc",10.28,4.15852537966685,3.48,2.29346898823594
"20_z_bod",12.1842105263158,3.90325756646374,3.07894736842105,2.43156693943203
"20_z_non",11.2631578947368,4.31016529767878,3.42105263157895,2.23765778785171
"20_z_pre",12.0357142857143,3.5950804128146,4.46428571428571,2.13406485473914
"20_z_vis",13,3.0854497241083,3.65384615384615,2.52890976813816
"20_z_voc",11.4827586206897,3.054512933527,3.3448275862069,2.39457514974645
"21_n_irr",12.7142857142857,2.8784916685157,3.25,2.11913679141785
"21_n_rat",11.2368421052632,3.99617526958043,3.39473684210526,2.23654503926481
"22_p_sen",11.0689655172414,4.18271130866399,3.31034482758621,2.18931574887586
"22_p_sim",11.5862068965517,4.16204998750882,3.17241379310345,2.22114779718636
"22_p_spi",11.7058823529412,3.84179102617126,3.52941176470588,2.32555362085972
"23_p_ari",10.85,3.89970413078894,3.675,2.47435565298037
"23_p_pos",11.9090909090909,4.31105871831123,3.24242424242424,2.63427294322246
"23_p_rea",10.7941176470588,3.85949762600441,3,2.10338831988828
"23_p_und",10.3333333333333,4.27771557898753,3.13333333333333,2.12916258968951
"23_z_ari",11.9777777777778,3.37429379068548,3.33333333333333,2.3741027013092
"23_z_pos",11.8181818181818,4.01134754052913,3.18181818181818,2.31104069434294
"23_z_rea",11.5925925925926,3.83565518682933,2.66666666666667,2.40192230707631
"23_z_und",10.4642857142857,4.44290647993158,3.82142857142857,2.16116517661999
"25_n_dep",11.3823529411765,4.3485609314678,3.38235294117647,2.08914519103712
"25_n_des",11.8461538461538,3.94656618028694,3.84615384615385,2.03356450976718
"25_n_exh",11.6410256410256,3.86949731188609,2.97435897435897,2.24179415327122
"25_n_hap",9.33333333333333,4.72077475481666,3,2.32992949004287
"25_n_sad",11.53125,4.05593452100865,3.28125,2.31731734499601
"25_p_dep",11.2424242424242,3.69146230366693,4.18181818181818,2.03799143543566
"25_p_des",11.8611111111111,3.39876261330316,3.63888888888889,2.6849078492064
"25_p_exh",12.2,3.50762715747584,4.1,2.27959464031172
"25_p_hap",12.1818181818182,3.0969192903447,4.06060606060606,2.10563817433388
"25_p_sad",10.6521739130435,4.70597971301285,3.82608695652174,2.12457854458122
"26_n_gri",11.8461538461538,4.10736476881827,2.8974358974359,2.43650819816599
"26_p_gri",10.7586206896552,4.23973695624246,2.93103448275862,2.38942662701982
"27_n_sal",11.6285714285714,3.3262389490562,3.68571428571429,2.13887585333193
"27_p_sal",11.4,4.01376940388785,3.83333333333333,2.40808026749788
"28_p_dis",10.5333333333333,4.08304596689972,2.7,1.96784496165309
"28_p_sim",11.2068965517241,4.07412839359386,3.3448275862069,2.02265493965879
"29_n_dep",10.8888888888889,3.99358459891836,3.66666666666667,2.60177454235196
"30_p_puz",11.3571428571429,4.31375307690016,3.35714285714286,2.19788257891268
"31_n_sho",11.1351351351351,3.78712850882332,2.78378378378378,2.38205251289181
"31_p_sho",12.0909090909091,3.44023651406808,3.3030303030303,2.20063696013291
"32_n_num",12.4074074074074,3.29637632349477,3.81481481481481,2.45007122403595
"32_p_num",12.2258064516129,3.09526172742958,2.96774193548387,2.2727937429185
"33_p_beh",10.9142857142857,4.29343841755977,2.94285714285714,2.31291587221256
"34_n_spa",11.9032258064516,3.45788797495116,3.61290322580645,2.4038499586405
"34_n_ver",11.4324324324324,4.3495883620084,3.64864864864865,2.51899689268275
"34_p_spa",12.3333333333333,3.77964473009227,3.38888888888889,2.19450974385465
"34_p_ver",12.4642857142857,3.90139711781555,3.57142857142857,2.26778683805536
"35_n_pus",12.2894736842105,3.47117781036648,3.57894736842105,2.34384275539549
"35_p_pus",12.71875,3.40051585270766,3.0625,2.48787381694335
"36_n_won",11.7037037037037,3.66705514647564,3.59259259259259,2.20592313240894
"36_p_won",11.4,3.30725430447717,3.83333333333333,2.00143626589427
"37_p_att",12.2333333333333,3.53975776819139,3.46666666666667,2.43159282737898
"38_n_err",11.7647058823529,3.34898287163578,3.32352941176471,2.265961408579
"38_p_err",12.6,2.43656358531091,3.25,2.46821904683476
"39_n_sat",11.3125,3.87246274894097,3.90625,2.10006720322577
"39_p_sat",12.969696969697,3.0769795303679,3.84848484848485,2.38643578534512
"40_n_new",10.2333333333333,4.37613696228119,3.6,2.42970127296795
"40_p_new",12.8157894736842,3.66764718128294,3.73684210526316,2.2140120184043
"41_p_nin",12.4594594594595,2.47873841785376,3.7027027027027,1.97012217422712
"41_p_yin",11.9642857142857,3.56403997626022,3.46428571428571,2.34887116870972
