,vig,n,m,notes
1,20_p_pre,1,0,ignore; small n
2,28_p_dis,5,0,"FIXED. for 28_p_dis, they actually correctly identified the hypothesis if they chose n."
3,36_n_won,7,0.142857143,poorly worded
4,23_z_rea,6,0.333333333,tough question
5,20_z_bod,9,0.444444444,
6,12_z_hap,6,0.5,
7,23_z_pos,4,0.5,
8,23_z_und,6,0.5,
9,34_n_ver,2,0.5,
10,35_n_pus,4,0.5,
11,41_p_yin,4,0.5,
12,20_p_vis,5,0.6,
13,20_z_non,5,0.6,
14,20_z_pre,5,0.6,
15,32_p_num,5,0.6,
16,41_p_nin,5,0.6,
17,09_p_sat,8,0.625,
18,31_n_sho,8,0.625,
19,01_p_wor,6,0.666666667,
20,04_n_rea,3,0.666666667,
21,08_p_pos,3,0.666666667,
22,20_z_vis,6,0.666666667,
23,25_n_exh,3,0.666666667,
24,09_n_sat,10,0.7,
25,03_n_swi,7,0.714285714,
26,20_p_bod,7,0.714285714,
27,27_n_sal,7,0.714285714,
28,38_n_err,7,0.714285714,
29,01_p_anx,4,0.75,
30,04_n_age,4,0.75,
31,04_p_per,8,0.75,
32,11_p_ang,4,0.75,
33,11_z_hap,4,0.75,
34,12_z_ang,4,0.75,
35,22_p_spi,4,0.75,
36,23_z_ari,4,0.75,
37,25_n_sad,4,0.75,
38,38_p_err,4,0.75,
39,04_p_age,9,0.777777778,
40,08_n_pos,9,0.777777778,
41,34_n_spa,9,0.777777778,
42,01_p_tr2,5,0.8,
43,11_z_ang,5,0.8,
44,12_p_hap,5,0.8,
45,14_p_res,5,0.8,
46,17_p_yin,5,0.8,
47,20_z_voc,5,0.8,
48,21_n_rat,5,0.8,
49,23_p_rea,5,0.8,
50,32_n_num,11,0.818181818,
51,01_p_dul,6,0.833333333,
52,21_n_irr,6,0.833333333,
53,22_p_sen,6,0.833333333,
54,23_p_ari,6,0.833333333,
55,01_p_per,7,0.857142857,
56,08_p_fol,7,0.857142857,
57,15_p_yin,7,0.857142857,
58,25_n_dep,7,0.857142857,
59,34_p_spa,7,0.857142857,
60,39_p_sat,7,0.857142857,
61,01_p_dig,8,0.875,
62,01_p_log,8,0.875,
63,01_p_tap,8,0.875,
64,04_n_err,8,0.875,
65,07_z_ver,8,0.875,
66,20_p_non,8,0.875,
67,23_p_pos,8,0.875,
68,40_p_new,8,0.875,
69,08_p_drq,9,0.888888889,
70,01_p_spa,11,0.909090909,
71,08_n_fol,11,0.909090909,
72,39_n_sat,11,0.909090909,
73,14_n_res,13,0.923076923,
74,01_p_ang,3,1,
75,01_p_dur,2,1,
76,01_p_irr,1,1,
77,01_p_lin,6,1,
78,01_p_res,6,1,
79,01_p_rev,3,1,
80,01_p_sim,7,1,
81,01_p_tr1,7,1,
82,01_p_unp,6,1,
83,01_p_vis,2,1,
84,02_p_coo,5,1,
85,03_p_swi,3,1,
86,04_n_per,8,1,
87,04_p_err,1,1,
88,04_p_rea,4,1,
89,05_p_dis,4,1,
90,07_z_man,5,1,
91,08_n_drq,7,1,
92,11_p_hap,2,1,
93,12_p_ang,3,1,
94,15_p_nin,7,1,
95,16_p_new,2,1,
96,17_p_nin,5,1,
97,20_p_voc,4,1,
98,22_p_sim,3,1,
99,23_p_und,6,1,
100,25_n_des,2,1,
101,25_n_hap,5,1,
102,25_p_dep,6,1,
103,25_p_des,8,1,
104,25_p_exh,5,1,
105,25_p_hap,3,1,
106,25_p_sad,4,1,
107,26_n_gri,3,1,
108,26_p_gri,6,1,
109,27_p_sal,3,1,
110,28_p_sim,2,1,
111,29_n_dep,10,1,
112,30_p_puz,8,1,
113,31_p_sho,8,1,
114,33_p_beh,8,1,
115,34_p_ver,8,1,
116,35_p_pus,6,1,
117,36_p_won,7,1,
118,37_p_att,6,1,
119,40_n_new,6,1,
